episode,reward,waiting_time,steps,avg_queue
1,-1221,13.515,200,13.515
2,-1281,12.285,200,12.285
3,-1162,9.92,200,9.92
4,-1337,14.775,200,14.775
5,-1196,10.825,200,10.825
6,-914,7.27,200,7.27
7,-963,7.6,200,7.6
8,-986,8.475,200,8.475
9,-727,5.695,200,5.695
10,-764,5.99,200,5.99
11,-859,8.005,200,8.005
12,-689,5.465,200,5.465
13,-684,5.44,200,5.44
14,-722,5.77,200,5.77
15,-785,5.96,200,5.96
16,-707,5.34,200,5.34
17,-553,6.19,200,6.19
18,-506,6.78,200,6.78
19,-594,6.645,200,6.645
20,-592,5.11,200,5.11
21,-634,5.765,200,5.765
22,-523,6.595,200,6.595
23,-479,7.05,200,7.05
24,-611,5.845,200,5.845
25,-558,10.73,200,10.73
26,-486,9.83,200,9.83
27,-507,9.8,200,9.8
28,-490,6.525,200,6.525
29,-495,5.57,200,5.57
30,-470,10.345,200,10.345
31,-514,19.715,200,19.715
32,-585,19.27,200,19.27
33,-513,22.095,200,22.095
34,-462,25.995,200,25.995
35,-292,28.87,200,28.87
36,-324,21.005,200,21.005
37,-312,29.305,200,29.305
38,-338,29.025,200,29.025
39,-165,33.585,200,33.585
40,-230,29.38,200,29.38
41,-192,31.69,200,31.69
42,-168,33.49,200,33.49
43,-120,33.185,200,33.185
44,-230,33.045,200,33.045
45,-104,33.95,200,33.95
46,-258,31.67,200,31.67
47,-104,33.935,200,33.935
48,-168,33.775,200,33.775
49,-166,33.47,200,33.47
50,-224,33.03,200,33.03
51,-104,33.94,200,33.94
52,-42,34.4,200,34.4
53,-99,33.98,200,33.98
54,-158,33.0,200,33.0
55,-164,33.5,200,33.5
56,-106,33.935,200,33.935
57,-42,34.4,200,34.4
58,-42,34.4,200,34.4
59,-42,34.4,200,34.4
60,-64,32.915,200,32.915
61,-68,32.575,200,32.575
62,-42,34.4,200,34.4
63,-42,34.4,200,34.4
64,-105,34.445,200,34.445
65,-58,34.185,200,34.185
66,-58,34.185,200,34.185
67,-58,34.185,200,34.185
68,-42,34.4,200,34.4
69,-42,34.4,200,34.4
70,-42,34.4,200,34.4
71,-42,34.4,200,34.4
72,-50,34.285,200,34.285
73,-42,34.4,200,34.4
74,-42,34.4,200,34.4
75,-42,34.4,200,34.4
76,-50,34.285,200,34.285
77,-42,34.4,200,34.4
78,-42,34.4,200,34.4
79,-42,34.4,200,34.4
80,-108,34.03,200,34.03
81,-42,34.4,200,34.4
82,-42,34.4,200,34.4
83,-42,34.4,200,34.4
84,-42,34.4,200,34.4
85,-42,34.4,200,34.4
86,-42,34.4,200,34.4
87,-42,34.4,200,34.4
88,-42,34.4,200,34.4
89,-50,34.285,200,34.285
90,-42,34.4,200,34.4
91,-42,34.4,200,34.4
92,-42,34.4,200,34.4
93,-42,34.4,200,34.4
94,-42,34.4,200,34.4
95,-42,34.4,200,34.4
96,-42,34.4,200,34.4
97,-42,34.4,200,34.4
98,-42,34.4,200,34.4
99,-42,34.4,200,34.4
100,-42,34.4,200,34.4
101,-42,34.4,200,34.4
102,-50,34.285,200,34.285
103,-38,37.065,200,37.065
104,-42,34.4,200,34.4
105,-42,34.4,200,34.4
106,-50,34.285,200,34.285
107,-42,34.4,200,34.4
108,-42,34.4,200,34.4
109,-168,33.58,200,33.58
110,-42,34.4,200,34.4
111,-100,36.585,200,36.585
112,-108,34.075,200,34.075
113,-108,34.11,200,34.11
114,-96,33.77,200,33.77
115,-38,37.065,200,37.065
116,-50,34.285,200,34.285
117,-102,33.965,200,33.965
118,-110,35.86,200,35.86
119,-38,37.065,200,37.065
120,-42,34.4,200,34.4
121,-122,34.47,200,34.47
122,-38,37.065,200,37.065
123,-50,34.285,200,34.285
124,-38,37.065,200,37.065
125,-38,37.065,200,37.065
126,-38,37.065,200,37.065
127,-50,34.285,200,34.285
128,-99,34.19,200,34.19
129,-38,37.065,200,37.065
130,-50,34.285,200,34.285
131,-42,34.4,200,34.4
132,-42,34.4,200,34.4
133,-38,37.065,200,37.065
134,-42,34.4,200,34.4
135,-42,34.4,200,34.4
136,-42,34.4,200,34.4
137,-42,34.4,200,34.4
138,-42,34.4,200,34.4
139,-42,34.4,200,34.4
140,-42,34.4,200,34.4
141,-38,37.065,200,37.065
142,-42,34.4,200,34.4
143,-50,34.285,200,34.285
144,-38,37.065,200,37.065
145,-38,37.065,200,37.065
146,-58,34.185,200,34.185
147,-50,34.285,200,34.285
148,-42,34.4,200,34.4
149,-42,34.4,200,34.4
