timestep,reward,waiting_time,mean_waiting_time
1000,4.71,700.0,11.864406779661017
2000,1.45,866.0,12.19718309859155
3000,6.94,918.0,14.123076923076923
4000,-3.01,1931.0,29.257575757575758
5000,-3.13,2689.0,36.33783783783784
6000,7.15,1576.0,24.246153846153845
7000,-4.06,5024.0,66.98666666666666
8000,0.9,3077.0,48.84126984126984
9000,8.23,5204.0,96.37037037037037
10000,-0.87,2426.0,40.43333333333333
11000,0.97,1346.0,19.507246376811594
12000,0.68,985.0,15.887096774193548
13000,-1.06,1627.0,23.579710144927535
14000,-2.76,2048.0,34.71186440677966
15000,-2.48,2402.0,35.3235294117647
16000,-2.4,2986.0,44.56716417910448
17000,0.79,1369.0,22.080645161290324
18000,-0.75,1126.0,17.060606060606062
19000,2.48,1052.0,15.246376811594203
20000,0.49,2132.0,30.028169014084508
