episode, reward, waiting_time, steps, avg_queue
      1, -973  ,       10.67 ,   200,    10.67
      2, -833  ,        6.97 ,   200,     6.97
      3, -804  ,        6.97 ,   200,     6.97
      4, -1001 ,       10.935,   200,    10.935
      5, -852  ,        6.63 ,   200,     6.63
      6, -799  ,        5.92 ,   200,     5.92
      7, -794  ,        6.745,   200,     6.745
      8, -750  ,        6.37 ,   200,     6.37
      9, -873  ,        9.325,   200,     9.325
     10, -765  ,        7.515,   200,     7.515
     11, -873  ,        8.815,   200,     8.815
     12, -793  ,        6.705,   200,     6.705
     13, -767  ,        6.22 ,   200,     6.22
     14, -778  ,        5.605,   200,     5.605
     15, -833  ,        7.425,   200,     7.425
     16, -762  ,        6.055,   200,     6.055
     17, -765  ,        6.49 ,   200,     6.49
     18, -753  ,        6.7  ,   200,     6.7
     19, -762  ,        5.905,   200,     5.905
     20, -778  ,        6.87 ,   200,     6.87
     21, -743  ,        5.255,   200,     5.255
     22, -774  ,        8.915,   200,     8.915
     23, -777  ,        7.03 ,   200,     7.03
     24, -772  ,        6.34 ,   200,     6.34
     25, -758  ,        6.325,   200,     6.325
     26, -756  ,        5.125,   200,     5.125
     27, -733  ,        6.255,   200,     6.255
     28, -757  ,        6.02 ,   200,     6.02
     29, -764  ,        6.35 ,   200,     6.35
     30, -764  ,        5.31 ,   200,     5.31
     31, -749  ,        5.845,   200,     5.845
     32, -803  ,        7.795,   200,     7.795
     33, -789  ,        7.66 ,   200,     7.66
     34, -843  ,        8.87 ,   200,     8.87
     35, -731  ,        7.1  ,   200,     7.1
     36, -773  ,        8.02 ,   200,     8.02
     37, -791  ,        7.79 ,   200,     7.79
     38, -740  ,        6.4  ,   200,     6.4
     39, -762  ,        5.615,   200,     5.615
     40, -719  ,        5.12 ,   200,     5.12
     41, -725  ,        6.175,   200,     6.175
     42, -695  ,        4.56 ,   200,     4.56
     43, -691  ,        4.47 ,   200,     4.47
     44, -701  ,        5.76 ,   200,     5.76
     45, -735  ,        5.045,   200,     5.045
     46, -706  ,        5.095,   200,     5.095
     47, -704  ,        5.785,   200,     5.785
     48, -735  ,        4.805,   200,     4.805
     49, -714  ,        4.905,   200,     4.905
     50, -757  ,        5.145,   200,     5.145
     51, -749  ,        5.79 ,   200,     5.79
