episode,step,reward,queue,action
1,0,0,0,1
1,1,-2,2,0
1,2,-1,1,1
1,3,-3,4,1
1,4,-1,3,0
1,5,-3,6,0
1,6,-4,10,0
1,7,-9,1,1
1,8,-3,4,0
1,9,-2,6,1
1,10,-3,9,1
1,11,-3,12,1
1,12,-2,14,1
1,13,-3,17,1
1,14,-10,7,0
1,15,-1,6,1
1,16,-3,9,0
1,17,-7,2,1
1,18,-2,4,1
1,19,-3,7,1
1,20,-2,9,1
1,21,-4,13,1
1,22,-2,15,1
1,23,-3,18,1
1,24,-9,9,0
1,25,-3,6,0
1,26,-4,10,0
1,27,-8,2,1
1,28,-2,4,0
1,29,-1,3,0
1,30,-3,6,0
1,31,-5,11,0
1,32,-10,1,1
1,33,-2,3,0
1,34,-1,4,0
1,35,-2,6,0
1,36,-4,2,1
1,37,-2,4,1
1,38,-4,8,1
1,39,-5,3,0
1,40,-2,5,0
1,41,-5,10,0
1,42,-3,13,0
1,43,-9,4,1
1,44,-1,5,0
1,45,-2,7,1
1,46,-3,10,1
1,47,-2,12,1
1,48,-9,3,0
1,49,-3,6,0
1,50,-2,4,1
1,51,-2,6,1
1,52,-3,3,0
1,53,-3,6,1
1,54,-5,1,1
1,55,-3,4,1
1,56,-2,2,0
1,57,-4,6,0
1,58,-4,2,1
1,59,-3,5,1
1,60,-2,7,1
1,61,-4,11,1
1,62,-2,13,1
1,63,-9,4,0
1,64,-2,6,1
1,65,-3,9,0
1,66,-8,1,1
1,67,-3,4,0
1,68,-3,7,1
1,69,-2,9,1
1,70,-3,12,1
1,71,-3,15,1
1,72,-8,7,0
1,73,-1,6,0
1,74,-3,9,0
1,75,-7,2,1
1,76,-3,5,0
1,77,-2,3,0
1,78,-3,6,0
1,79,-4,10,0
1,80,-8,2,1
1,81,-3,5,1
1,82,-1,4,0
1,83,-4,8,0
1,84,-2,10,0
1,85,-4,14,0
1,86,-4,18,0
1,87,-4,22,0
1,88,-8,14,1
1,89,-9,5,0
1,90,-3,8,0
1,91,-10,18,1
1,92,-9,9,1
1,93,-5,4,1
1,94,-3,7,0
1,95,-8,15,0
1,96,-4,19,0
1,97,-4,23,0
1,98,-10,13,1
1,99,-9,4,1
1,100,-2,6,0
1,101,-13,19,0
1,102,-10,9,1
1,103,-5,4,0
1,104,-2,6,1
1,105,-2,4,0
1,106,-4,8,1
1,107,-6,2,1
1,108,-3,5,1
1,109,-2,3,0
1,110,-3,6,1
1,111,-4,10,0
1,112,-9,1,1
1,113,-3,4,0
1,114,-2,6,1
1,115,-5,1,0
1,116,-3,4,1
1,117,-3,1,1
1,118,-4,5,0
1,119,-3,2,0
1,120,-4,6,1
1,121,-4,10,0
1,122,-5,15,0
1,123,-9,6,1
1,124,-1,5,1
1,125,-2,7,1
1,126,-2,9,1
1,127,-7,2,0
1,128,-4,6,0
1,129,-6,0,1
1,130,-3,3,0
1,131,-3,6,1
1,132,-4,2,0
1,133,-4,6,1
1,134,-4,10,0
1,135,-3,13,0
1,136,-4,17,0
1,137,-10,7,1
1,138,-4,3,1
1,139,-6,9,0
1,140,-4,13,1
1,141,-8,5,1
1,142,-1,4,1
1,143,-2,6,1
1,144,-3,9,1
1,145,-6,3,0
1,146,-3,6,0
1,147,-3,9,0
1,148,-8,1,1
1,149,-3,4,0
1,150,-2,2,0
1,151,-4,6,1
1,152,-5,1,1
1,153,-2,3,1
1,154,0,3,0
1,155,-4,7,1
1,156,-3,10,0
1,157,-8,2,1
1,158,-3,5,0
1,159,-2,3,0
1,160,-4,7,0
1,161,-4,11,0
1,162,-10,1,1
1,163,-3,4,0
1,164,-2,6,1
1,165,-3,9,1
1,166,-7,2,0
1,167,-4,6,0
1,168,-5,1,1
1,169,-2,3,1
1,170,-4,7,1
1,171,-2,9,1
1,172,-7,2,0
1,173,-3,5,0
1,174,-4,9,0
1,175,-8,1,1
1,176,-3,4,0
1,177,-2,6,1
1,178,-3,9,1
1,179,-7,2,0
1,180,-4,6,1
1,181,-4,2,1
1,182,-3,5,0
1,183,-2,7,1
1,184,-5,2,0
1,185,-4,6,0
1,186,-4,10,0
1,187,-8,2,1
1,188,-2,4,1
1,189,0,4,0
1,190,-3,7,1
1,191,-5,2,1
1,192,-3,5,1
1,193,-2,7,1
1,194,-3,10,1
1,195,-7,3,0
1,196,-3,6,0
1,197,-4,2,1
1,198,-2,4,1
1,199,-3,7,1
2,0,0,0,1
2,1,-2,2,1
2,2,-5,7,0
2,3,-3,10,0
2,4,-3,13,0
2,5,-9,4,1
2,6,-1,5,0
2,7,-1,6,0
2,8,-4,10,1
2,9,-4,14,0
2,10,-4,18,0
2,11,-4,22,0
2,12,-10,12,1
2,13,-8,4,0
2,14,-2,6,1
2,15,0,6,0
2,16,-4,10,0
2,17,-3,13,0
2,18,-4,17,0
2,19,-9,8,1
2,20,-5,3,1
2,21,-5,8,0
2,22,-7,15,0
2,23,-3,18,0
2,24,-9,9,1
2,25,-5,4,0
2,26,-3,7,1
2,27,-3,4,0
2,28,-4,8,1
2,29,-7,1,1
2,30,-2,3,1
2,31,-3,6,1
2,32,-5,1,0
2,33,-5,6,1
2,34,-5,1,1
2,35,-3,4,0
2,36,-2,2,0
2,37,-4,6,0
2,38,-4,2,1
2,39,-2,4,1
2,40,-3,1,0
2,41,-4,5,1
2,42,-4,9,0
2,43,-3,12,0
2,44,-4,16,0
2,45,-9,7,1
2,46,-2,5,1
2,47,-4,9,0
2,48,-4,13,0
2,49,-4,17,0
2,50,-7,10,1
2,51,-5,5,0
2,52,-3,8,1
2,53,-5,3,0
2,54,-3,6,0
2,55,-5,11,0
2,56,-3,14,0
2,57,-3,17,0
2,58,-8,9,1
2,59,-4,5,1
2,60,-3,8,1
2,61,-3,11,1
2,62,-10,1,0
2,63,-4,5,0
2,64,-4,9,0
2,65,-7,2,1
2,66,-2,4,0
2,67,-3,7,1
2,68,-3,10,1
2,69,-3,13,1
2,70,-2,15,1
2,71,-10,5,0
2,72,-1,6,0
2,73,-3,9,0
2,74,-4,13,0
2,75,-9,4,1
2,76,0,4,1
2,77,-4,8,1
2,78,-2,10,1
2,79,-2,12,1
2,80,-3,15,1
2,81,-3,18,1
2,82,-10,8,0
2,83,-3,5,0
2,84,-4,9,0
2,85,-7,2,1
2,86,-3,5,1
2,87,-2,7,1
2,88,-4,3,0
2,89,-2,5,0
2,90,-4,9,0
2,91,-5,14,0
2,92,-10,4,1
2,93,0,4,1
2,94,-3,7,0
2,95,-3,10,0
2,96,-9,1,1
2,97,-3,4,0
2,98,-2,6,1
2,99,-4,2,0
2,100,-3,5,1
2,101,-5,10,0
2,102,-3,13,0
2,103,-4,17,0
2,104,-4,21,0
2,105,-10,11,1
2,106,-8,3,0
2,107,-3,6,1
2,108,-1,7,0
2,109,-3,10,1
2,110,-3,13,0
2,111,-4,17,0
2,112,-8,9,1
2,113,-5,4,1
2,114,-3,7,1
2,115,-3,4,0
2,116,-2,6,0
2,117,-5,1,1
2,118,-4,5,0
2,119,-2,7,1
2,120,-3,10,1
2,121,-8,2,0
2,122,-4,6,0
2,123,-4,10,0
2,124,-3,13,0
2,125,-8,5,1
2,126,-1,4,1
2,127,-3,7,0
2,128,-4,11,1
2,129,-3,14,0
2,130,-9,5,1
2,131,-1,4,1
2,132,-3,7,1
2,133,-5,2,0
2,134,-3,5,1
2,135,-4,9,0
2,136,-8,1,1
2,137,-3,4,0
2,138,-3,7,1
2,139,-2,9,1
2,140,-3,12,1
2,141,-9,3,0
2,142,-2,5,0
2,143,-2,3,1
2,144,-2,5,0
2,145,-2,3,0
2,146,-2,5,1
2,147,-3,2,1
2,148,-2,4,1
2,149,-2,2,0
2,150,-3,5,1
2,151,-4,9,0
2,152,-4,13,0
2,153,-3,16,0
2,154,-4,20,0
2,155,-8,12,1
2,156,-7,5,0
2,157,-2,7,0
2,158,-10,17,1
2,159,-9,8,1
