step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,12,31,0,0,12,0,0.0,0.0,8.629932058447501,0,0.0,0.6033302790035427,0,0.0
20.0,26,50,7,1,27,0,21.0,0.8076923076923077,5.139174188035389,7,21.0,0.3286701149791535,7,21.0
30.0,36,77,9,4,40,0,73.0,2.0277777777777777,5.904411274228971,9,73.0,0.2949364345349652,9,73.0
40.0,43,100,20,15,58,0,208.0,4.837209302325581,4.020816491343059,20,209.0,0.17080624142616896,20,209.0
50.0,52,130,36,21,73,0,468.0,9.0,2.505741032026918,36,468.0,0.11168271638019817,36,468.0
60.0,58,150,31,25,83,0,466.0,8.03448275862069,2.7885749241698843,31,619.0,0.11215667515135117,31,619.0
70.0,61,182,42,33,94,0,767.0,12.573770491803279,2.8671911984056804,42,790.0,0.10183818418349241,42,790.0
80.0,61,207,38,42,103,0,1007.0,16.508196721311474,2.1612117004495484,38,1095.0,0.0935792813265498,38,1095.0
90.0,65,237,47,48,113,0,1407.0,21.646153846153847,2.411396624200939,47,1463.0,0.08256217419257363,47,1463.0
100.0,65,257,51,57,122,0,1896.0,29.16923076923077,1.3918219305940087,51,1918.0,0.05040989709912795,51,1918.0
110.0,66,291,40,62,128,0,1425.0,21.59090909090909,2.571993416544203,40,1934.0,0.08673232169419966,40,1934.0
120.0,62,324,33,73,135,0,1504.0,24.258064516129032,3.8001844994530782,33,1744.0,0.15136676712791655,33,1744.0
130.0,61,346,32,85,146,0,1684.0,27.60655737704918,2.9190412037723013,32,1826.0,0.11421729149147931,32,1826.0
140.0,57,391,36,97,154,0,2020.0,35.43859649122807,3.0765773390498596,36,2107.0,0.09564356349989935,36,2107.0
150.0,55,416,36,107,162,0,1237.0,22.490909090909092,2.2983010963740864,36,1875.0,0.08416426911727118,36,1875.0
160.0,57,450,37,114,171,0,1269.0,22.263157894736842,2.6421240707035456,37,1780.0,0.10653999667846305,37,1780.0
170.0,60,487,31,121,181,0,1210.0,20.166666666666668,3.2107169533336997,31,1704.0,0.1343962494387016,31,1704.0
180.0,61,509,31,132,193,0,718.0,11.770491803278688,3.2651910427371886,31,1656.0,0.12394559764089501,31,1656.0
190.0,59,535,36,143,202,0,616.0,10.440677966101696,2.596633115333772,36,1363.0,0.09201760028163183,36,1363.0
200.0,58,558,42,151,209,0,1014.0,17.482758620689655,2.4770326687517152,42,1450.0,0.09139562733754253,42,1450.0
210.0,59,591,46,158,217,0,1450.0,24.576271186440678,1.9792628566845316,46,1880.0,0.0706551106506443,46,1880.0
220.0,62,611,38,164,226,0,1637.0,26.403225806451612,2.5950874974677647,38,2155.0,0.0951956129493855,38,2155.0
230.0,59,646,40,174,233,0,2003.0,33.94915254237288,2.7875028458135165,40,2452.0,0.10697556924884477,40,2452.0
240.0,58,665,39,182,240,0,2324.0,40.06896551724138,2.205682659677971,39,2796.0,0.08413706463533752,39,2796.0
250.0,57,692,45,190,247,0,2750.0,48.24561403508772,1.9917623673157805,45,3199.0,0.06940506033316989,45,3199.0
260.0,58,720,32,196,254,0,1582.0,27.275862068965516,2.69671712659058,32,2521.0,0.09657443020150296,32,2521.0
270.0,58,756,36,206,264,0,1587.0,27.362068965517242,2.7215914080984587,36,2007.0,0.10882917661270614,36,2007.0
280.0,57,792,43,215,272,0,1988.0,34.87719298245614,1.6218262627504816,43,2094.0,0.06721080296229996,43,2094.0
290.0,61,821,38,219,280,0,1112.0,18.229508196721312,2.005998447504626,38,1930.0,0.07666122851463236,38,1930.0
300.0,66,855,41,225,291,0,886.0,13.424242424242424,2.674396172460437,41,1391.0,0.11181472816328716,41,1391.0
310.0,71,883,40,233,304,0,780.0,10.985915492957746,2.143168410706564,40,1530.0,0.08364712114922516,40,1530.0
320.0,73,912,48,240,313,0,1121.0,15.356164383561644,2.297008334684295,48,1723.0,0.07706625453246753,48,1723.0
330.0,73,937,46,249,322,0,1113.0,15.246575342465754,2.3595164990954958,46,1837.0,0.07863405592662612,46,1837.0
340.0,71,970,46,261,332,0,1496.0,21.070422535211268,2.3522549711749674,46,2084.0,0.08790732665391035,46,2084.0
350.0,73,998,44,270,343,0,1380.0,18.904109589041095,2.378624424387716,44,2067.0,0.09286376263603091,44,2067.0
360.0,74,1031,46,280,354,0,1562.0,21.10810810810811,2.5134095196321384,46,2074.0,0.08823513048703904,46,2074.0
370.0,75,1053,45,290,365,0,1842.0,24.56,2.211381600020842,45,2367.0,0.07720543887490276,45,2367.0
380.0,75,1082,55,299,374,0,2327.0,31.026666666666667,2.0916325236966857,55,2776.0,0.05511080783346153,55,2776.0
390.0,68,1114,37,310,378,0,1262.0,18.558823529411764,3.0772423363724792,37,2371.0,0.10422540866552489,37,2371.0
