timestep,reward,waiting_time_veh,mean_waiting_time_veh,waiting_time_peat_total,mean_waiting_time_peat,peatones_esperando,peatones_cruzados_step,colisiones,infracciones,ambulance_waiting
1000,-3.56,5904.0,155.3684210526316,0.0,0.0,0,0,0,0,0
2000,23.14,1550.0,96.875,41.0,20.5,2,1,0,2,0
3000,13.33,1073.0,97.54545454545455,88.0,29.333333333333332,3,1,0,3,0
4000,4.37,342.0,38.0,0.0,0.0,0,0,0,0,0
5000,0.69,1725.0,46.62162162162162,9.0,9.0,1,1,0,1,0
6000,-4.55,5874.0,124.97872340425532,0.0,0.0,0,0,0,0,0
7000,-2.37,2670.0,98.88888888888889,0.0,0.0,0,0,0,0,0
8000,-0.53,348.0,29.0,0.0,0.0,0,0,0,0,0
9000,-2.78,1634.0,56.3448275862069,0.0,0.0,0,1,0,0,0
10000,2.35,16.0,8.0,344.0,68.8,5,0,0,5,0
11000,-0.95,322.0,32.2,0.0,0.0,0,1,0,0,0
12000,3.19,490.0,70.0,38.0,12.666666666666666,3,1,0,4,0
13000,-1.36,419.0,23.27777777777778,0.0,0.0,0,0,0,0,0
14000,0.24,272.0,30.22222222222222,0.0,0.0,0,1,0,0,0
15000,-0.46,459.0,28.6875,9.0,9.0,1,0,0,1,0
16000,3.12,43.0,7.166666666666667,0.0,0.0,0,0,0,0,0
17000,-1.21,857.0,65.92307692307692,246.0,41.0,6,0,0,6,0
18000,-0.87,321.0,32.1,0.0,0.0,0,0,0,0,0
19000,-0.61,607.0,37.9375,0.0,0.0,0,0,0,0,0
20000,-0.47,76.0,15.2,331.0,82.75,4,0,0,4,0
21000,-1.45,841.0,56.06666666666667,41.0,20.5,2,0,0,2,0
22000,-2.1,822.0,39.142857142857146,0.0,0.0,0,0,0,0,0
23000,-1.2,591.0,45.46153846153846,0.0,0.0,0,0,0,0,0
24000,-0.07,132.0,26.4,3.0,3.0,1,1,0,1,0
25000,0.06,769.0,76.9,0.0,0.0,0,0,0,0,0
26000,3.2,105.0,17.5,78.0,26.0,3,0,0,3,0
27000,-1.53,546.0,32.11764705882353,0.0,0.0,0,0,0,0,0
28000,-0.97,199.0,16.583333333333332,313.0,104.33333333333333,3,0,0,3,0
29000,-1.33,487.0,34.785714285714285,397.0,66.16666666666667,6,0,0,6,0
30000,0.36,63.0,15.75,6.0,6.0,1,0,0,1,0
31000,-0.36,203.0,40.6,0.0,0.0,0,0,0,0,0
32000,0.12,266.0,29.555555555555557,0.0,0.0,0,1,0,0,0
33000,1.22,113.0,28.25,47.0,47.0,1,0,0,1,0
34000,-0.99,283.0,25.727272727272727,0.0,0.0,0,0,0,0,0
35000,1.11,26.0,8.666666666666666,88.0,44.0,2,0,0,2,0
36000,-1.75,521.0,28.944444444444443,2.0,2.0,1,1,0,2,0
37000,0.79,74.0,37.0,18.0,9.0,2,2,0,2,0
38000,2.09,170.0,34.0,0.0,0.0,0,0,0,0,0
39000,2.19,113.0,37.666666666666664,42.0,42.0,1,0,0,1,0
40000,1.71,30.0,10.0,5.0,5.0,1,0,0,1,0
41000,-0.7,234.0,33.42857142857143,0.0,0.0,0,4,0,0,0
42000,-0.94,339.0,33.9,0.0,0.0,0,0,0,1,0
43000,1.73,202.0,40.4,43.0,21.5,2,0,0,2,0
44000,-0.33,75.0,15.0,42.0,42.0,1,0,0,1,0
45000,-0.38,95.0,13.571428571428571,31.0,15.5,2,0,0,2,0
46000,-0.62,277.0,39.57142857142857,686.0,98.0,7,0,0,7,0
47000,-0.5,79.0,15.8,405.0,81.0,5,0,0,5,0
48000,0.52,111.0,37.0,0.0,0.0,0,2,0,0,0
49000,-0.27,114.0,22.8,192.0,64.0,3,0,0,4,0
50000,0.09,154.0,22.0,8.0,8.0,1,2,0,1,0
51000,0.29,65.0,65.0,621.0,88.71428571428571,7,0,0,7,0
52000,-0.46,187.0,37.4,87.0,43.5,2,0,0,2,0
53000,-0.44,115.0,23.0,184.0,36.8,5,0,0,6,0
54000,-0.72,364.0,33.09090909090909,9.0,9.0,1,0,0,1,0
55000,3.61,16.0,8.0,51.0,12.75,4,2,0,4,0
56000,-0.08,268.0,29.77777777777778,26.0,13.0,2,1,0,2,0
57000,2.0,152.0,50.666666666666664,33.0,33.0,1,1,0,1,0
58000,-0.1,49.0,12.25,0.0,0.0,0,0,0,1,0
59000,-1.19,395.0,26.333333333333332,0.0,0.0,0,2,0,0,0
60000,-0.91,512.0,51.2,2.0,2.0,1,0,0,1,0
