timestep,reward,waiting_time,mean_waiting_time
62000,2.01,959.0,13.319444444444445
63000,-0.48,1353.0,18.283783783783782
64000,0.05,1084.0,17.206349206349206
65000,-0.78,700.0,10.76923076923077
66000,-0.13,971.0,16.74137931034483
67000,-0.48,1002.0,15.181818181818182
68000,0.55,952.0,12.526315789473685
69000,-0.59,938.0,14.430769230769231
70000,-1.01,1124.0,15.61111111111111
71000,1.45,725.0,10.661764705882353
72000,-1.21,917.0,11.909090909090908
73000,-1.39,1254.0,18.17391304347826
74000,1.08,773.0,13.327586206896552
75000,-0.42,1386.0,18.986301369863014
76000,-0.76,982.0,13.27027027027027
77000,0.78,820.0,13.225806451612904
78000,-1.65,1036.0,15.462686567164178
79000,2.14,480.0,7.5
80000,0.26,1281.0,19.119402985074625
81000,0.11,750.0,10.714285714285714
82000,0.45,883.0,13.584615384615384
83000,-0.01,682.0,10.17910447761194
84000,-1.5,791.0,11.46376811594203
85000,1.71,641.0,9.712121212121213
86000,0.14,869.0,13.793650793650794
87000,2.85,767.0,10.652777777777779
88000,2.22,1289.0,19.53030303030303
89000,-1.67,990.0,15.46875
90000,1.99,1041.0,15.772727272727273
91000,1.37,1313.0,17.743243243243242
92000,-2.0,1068.0,14.63013698630137
93000,2.74,635.0,10.583333333333334
94000,1.93,1155.0,17.238805970149254
95000,-2.46,1259.0,17.48611111111111
96000,-0.54,831.0,12.043478260869565
97000,-0.36,1354.0,19.6231884057971
98000,1.34,1155.0,16.985294117647058
99000,-2.45,1285.0,17.84722222222222
100000,-2.12,803.0,11.471428571428572
101000,0.44,1370.0,18.266666666666666
102000,0.18,1272.0,19.875
103000,0.1,1062.0,13.973684210526315
104000,0.56,718.0,9.573333333333334
105000,0.68,1198.0,19.322580645161292
106000,0.35,839.0,11.985714285714286
107000,-1.48,871.0,11.460526315789474
108000,0.84,1131.0,17.671875
109000,0.2,1062.0,14.547945205479452
110000,0.34,961.0,12.986486486486486
111000,-2.52,1317.0,19.36764705882353
112000,0.64,734.0,11.121212121212121
